time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
565248,515,183.25,64.0905,1096,276,0.2,-0.006267994118388742,0.735422670841217,0.0003,0.0038514803,2750,0.023486328125,45.06818552017212,22.680038452148438,-0.40712459459900857
567296,517,186.81,66.74489999999999,1096,277,0.2,-0.007890285836765543,0.7188433408737183,0.0003,0.0049260524,2760,0.032861328125,43.08363971710205,19.39177894592285,-0.40776920020580293
569344,519,185.48,67.5592,1096,278,0.2,-0.00799456617096439,0.7226352095603943,0.0003,0.0049354383,2770,0.03974609375,34.97961297035217,16.32503890991211,-0.42052004411816596
571392,521,184.26,65.3444,1096,279,0.2,-0.008174595196032896,0.755352258682251,0.0003,0.0050169937,2780,0.0439453125,35.114550828933716,14.173951148986816,-0.4395534135401249
573440,522,186.97,65.6973,1096,280,0.2,-0.0070847724913619455,0.8000342845916748,0.0003,0.0039460706,2790,0.02646484375,38.39358606338501,17.300554275512695,-0.40746048986911776
575488,524,189.52,67.6388,1096,281,0.2,-0.007759291143156588,0.7933595180511475,0.0003,0.0033315117,2800,0.025244140625,39.2363260269165,17.82654571533203,-0.4232497148215771
577536,526,190.02,67.51580000000001,1096,282,0.2,-0.0066894876945298165,0.719005823135376,0.0003,0.0030990308,2810,0.037841796875,46.729499912261964,20.28961944580078,-0.4080003060400486
579584,528,193.54,68.2626,1096,283,0.2,-0.007694885844830424,0.7925022840499878,0.0003,0.003529181,2820,0.03427734375,34.14020690917969,14.670111656188965,-0.41293773129582406
581632,530,202.82,72.9358,1096,284,0.2,-0.00793662592768669,0.6828771829605103,0.0003,0.0033851522,2830,0.02705078125,47.16108980178833,19.918800354003906,-0.41507084518671034
583680,532,204.75,74.4825,1096,285,0.2,-0.006752618204336614,0.7840555906295776,0.0003,0.0036560656,2840,0.034619140625,38.348873138427734,19.601852416992188,-0.40672868862748146
585728,534,206.3,74.533,1096,286,0.2,-0.00837175723281689,0.7675440311431885,0.0003,0.0041795643,2850,0.034228515625,43.97146940231323,18.120595932006836,-0.3925431989133358
587776,536,209.13,75.18969999999999,1095,287,0.2,-0.007830346550326795,0.7860136032104492,0.0003,0.0035058544,2860,0.026025390625,42.430124855041505,19.619510650634766,-0.39194858744740485
589824,538,208.9,75.803,1096,288,0.2,-0.005297913361573592,0.8089420795440674,0.0003,0.0028314353,2870,0.019287109375,42.920590019226076,20.657224655151367,-0.3923325382173061
591872,540,212.19,76.9291,1095,289,0.2,-0.00829869566950947,0.7930036187171936,0.0003,0.0045503518,2880,0.0408203125,34.64440078735352,14.894274711608887,-0.4031027264893055
593920,542,216.78,78.96919999999999,1095,290,0.2,-0.007789203355787322,0.7437545657157898,0.0003,0.004805127,2890,0.0291015625,46.81430854797363,20.413768768310547,-0.41303821429610255
595968,543,212.85,78.0445,1096,291,0.2,-0.005922017156262882,0.8140497207641602,0.0003,0.004390595,2900,0.028759765625,38.77332673072815,17.545164108276367,-0.40697440430521964
598016,545,207.55,76.0835,1096,292,0.2,-0.007385111565236002,0.775313138961792,0.0003,0.0027251488,2910,0.021240234375,51.11529932022095,22.107559204101562,-0.40209358036518095
600064,547,203.75,74.6465,1096,293,0.2,-0.005736151221208274,0.7584764957427979,0.0003,0.002862413,2920,0.019775390625,59.230261421203615,27.79391860961914,-0.38669458553195
602112,549,206.28,75.8162,1096,294,0.2,-0.00659346450411249,0.8432152271270752,0.0003,0.0038283172,2930,0.026220703125,35.22338919639587,15.351386070251465,-0.4068530239164829
604160,551,210.7,76.77,1096,295,0.2,-0.006473780731903389,0.8275952339172363,0.0003,0.0028899312,2940,0.025048828125,35.87055354118347,15.12416934967041,-0.41144701689481733
606208,552,207.32,77.2268,1096,296,0.2,-0.007571403257315978,0.7426939010620117,0.0003,0.0031884257,2950,0.028515625,45.588451862335205,19.71249771118164,-0.4118716150522232
608256,555,205.89,77.10210000000001,1095,297,0.2,-0.007615232164971531,0.7901151180267334,0.0003,0.0035892704,2960,0.030078125,41.833783054351805,18.310535430908203,-0.38265112042427063
610304,556,205.5,76.964,1095,298,0.2,-0.007728896610205993,0.8256075382232666,0.0003,0.0047085257,2970,0.0333984375,30.691710948944092,14.023646354675293,-0.41400773599743845
612352,558,203.87,76.51830000000001,1096,299,0.2,-0.005376021499978378,0.6778006553649902,0.0003,0.0035603372,2980,0.031396484375,65.03748388290406,32.21058654785156,-0.3998706690967083
